,ENTIDAD,Mes,Año,Tipo_sequia,Precipitacion,Temperatura_promedio,Temperatura_maxima,Temperatura_minima,Sembrada_ha,Cosechada_ha,perdida_ha,producto
129,Aguascalientes,11,2018,NPS,40.51,14.7,23.1,6.2,7391,7387,4,frijol
130,Aguascalientes,11,2019,NPS,33.7,16.7,24.4,8.9,24783,12117,12666,maiz
131,Aguascalientes,11,2019,NPS,33.7,16.7,24.4,8.9,4598,1913,2685,frijol
132,Aguascalientes,11,2020,D0,0.0,15.8,25.9,5.8,32713,31139,1574,maiz
133,Aguascalientes,11,2020,D0,0.0,15.8,25.9,5.8,7235,7134,101,frijol
134,Baja California,1,2005,NPS,49.6,13.760475786009293,20.374385162538555,7.146566409480027,718,8,710,maiz
135,Baja California,1,2005,NPS,49.6,13.760475786009293,20.374385162538555,7.146566409480027,428,2,426,frijol
136,Baja California,1,2006,D0,2.8,13.84736840885,21.142516674654726,6.5522201430452744,428,428,0,maiz
137,Baja California,1,2006,D0,2.8,13.84736840885,21.142516674654726,6.5522201430452744,866,866,0,frijol
138,Baja California,1,2007,D2,12.8,11.518051177252385,18.288630562010265,4.872731338033847,398,15,383,maiz
139,Baja California,1,2007,D2,12.8,11.518051177252385,18.288630562010265,4.872731338033847,449,24,425,frijol
140,Baja California,1,2007,D2,12.8,11.518051177252385,18.288630562010265,4.872731338033847,85,85,0,trigo
141,Baja California,1,2009,D1,3.0,14.774046142363545,21.584194011947158,7.963898272779938,475,8,467,frijol
142,Baja California,1,2010,D0,79.6,13.946651049391381,20.52714168051617,7.366160418266594,470,10,460,frijol
143,Baja California,1,2011,NPS,5.0,14.122743222525468,20.61027514678911,7.635211298261828,57,57,0,maiz
144,Baja California,1,2011,NPS,5.0,14.122743222525468,20.61027514678911,7.635211298261828,976,826,150,frijol
145,Baja California,1,2012,NPS,4.0,15.6,21.8,9.4,13,13,0,frijol
146,Baja California,1,2013,D0,28.88,12.944454230769225,18.97081,6.918098461538462,294,13,281,maiz
147,Baja California,1,2013,D0,28.88,12.944454230769225,18.97081,6.918098461538462,38,2,36,frijol
148,Baja California,1,2014,D2,3.61,17.0,23.7,10.2,218,218,0,maiz
149,Baja California,1,2014,D2,3.61,17.0,23.7,10.2,621,18,603,frijol
150,Baja California,2,2005,NPS,90.3,13.472898814751453,18.88161976131285,8.06417786819005,718,8,710,maiz
151,Baja California,2,2005,NPS,90.3,13.472898814751453,18.88161976131285,8.06417786819005,428,2,426,frijol
152,Baja California,2,2006,D0,16.4,14.874926344934115,22.02302046125028,7.726832228617942,428,428,0,maiz
153,Baja California,2,2006,D0,16.4,14.874926344934115,22.02302046125028,7.726832228617942,866,866,0,frijol
154,Baja California,2,2007,D1,28.6,13.847235203740102,20.752699020404968,6.978682013003525,398,15,383,maiz
155,Baja California,2,2007,D1,28.6,13.847235203740102,20.752699020404968,6.978682013003525,449,24,425,frijol
156,Baja California,2,2007,D1,28.6,13.847235203740102,20.752699020404968,6.978682013003525,85,85,0,trigo
157,Baja California,2,2009,D1,56.1,13.455289859775668,20.34728024762423,6.563299471927108,475,8,467,frijol
158,Baja California,2,2010,NPS,57.0,13.825178456870267,19.928540861010358,7.7218160527301825,470,10,460,frijol
159,Baja California,2,2011,NPS,75.2,11.10374907402998,17.200446309328502,5.007051838731461,57,57,0,maiz
160,Baja California,2,2011,NPS,75.2,11.10374907402998,17.200446309328502,5.007051838731461,976,826,150,frijol
161,Baja California,2,2012,NPS,27.5,13.4,19.8,6.5,13,13,0,frijol
162,Baja California,2,2013,D0,12.2,13.748185259932153,20.68183205051217,6.814538469352135,294,13,281,maiz
163,Baja California,2,2013,D0,12.2,13.748185259932153,20.68183205051217,6.814538469352135,38,2,36,frijol
164,Baja California,2,2014,D2,14.34,17.0,24.0,10.1,218,218,0,maiz
165,Baja California,2,2014,D2,14.34,17.0,24.0,10.1,621,18,603,frijol
166,Baja California,3,2007,D1,3.4,17.179465556379768,24.87322899980029,9.522858320219543,85,85,0,trigo
167,Baja California,3,2014,D0,9.62,19.2,25.9,12.5,218,218,0,maiz
168,Baja California,3,2014,D0,9.62,19.2,25.9,12.5,621,18,603,frijol
169,Baja California,4,2011,NPS,10.5,18.09070437342416,25.08317510691237,11.098233639935946,10751,14,10737,trigo
170,Baja California,5,2004,D1,0.0,21.993939395,29.85656566,14.13131313,2,2,0,maiz
171,Baja California,5,2005,NPS,1.1,21.257205763545016,28.96969830760472,13.544713219485311,8,3,5,maiz
172,Baja California,5,2005,NPS,1.1,21.257205763545016,28.96969830760472,13.544713219485311,4,2,2,frijol
173,Baja California,5,2010,NPS,0.0,18.751250995470752,26.22490390161209,11.277598089329413,13187,18,13169,trigo
174,Baja California,5,2011,NPS,7.1,19.58413916180607,26.90631698722672,12.261961336385419,10751,14,10737,trigo
175,Baja California,6,2004,D1,0.0,23.349609375,31.2984375,15.40078125,2,2,0,maiz
176,Baja California,6,2004,D1,0.0,23.349609375,31.2984375,15.40078125,632,6,626,maiz
177,Baja California,6,2004,D1,0.0,23.349609375,31.2984375,15.40078125,16493,760,15733,trigo
178,Baja California,6,2005,NPS,0.2,22.999782485921546,30.43041816862132,15.569146803221765,8,3,5,maiz
179,Baja California,6,2005,NPS,0.2,22.999782485921546,30.43041816862132,15.569146803221765,4,2,2,frijol
180,Baja California,6,2005,NPS,0.2,22.999782485921546,30.43041816862132,15.569146803221765,14743,10,14733,trigo
181,Baja California,6,2006,NPS,0.0,26.10412059827187,33.521593088683986,18.686648107859746,8702,150,8552,trigo
182,Baja California,6,2009,D2,1.1,22.725051234556165,29.522418422480307,15.927684046632026,13277,988,12289,trigo
183,Baja California,6,2010,NPS,0.0,23.43771853194495,30.82174759441472,16.053689469475195,13187,23,13164,trigo
184,Baja California,6,2011,NPS,0.0,23.681651263759452,31.261952647649927,16.101349879868973,10751,20,10731,trigo
185,Baja California,6,2017,D0,0.17,26.4,34.0,18.8,5687,20,5667,trigo
186,Baja California,7,2004,D1,0.0,27.31230469,35.20117188,19.4234375,2,2,0,maiz
187,Baja California,7,2004,D1,0.0,27.31230469,35.20117188,19.4234375,718,6,712,maiz
188,Baja California,7,2004,D1,0.0,27.31230469,35.20117188,19.4234375,16493,4167,12326,trigo
189,Baja California,7,2005,NPS,1.6,27.532054253717927,35.10116728938819,19.962941218047646,8,3,5,maiz
190,Baja California,7,2005,NPS,1.6,27.532054253717927,35.10116728938819,19.962941218047646,523,4,519,maiz
191,Baja California,7,2005,NPS,1.6,27.532054253717927,35.10116728938819,19.962941218047646,4,2,2,frijol
192,Baja California,7,2005,NPS,1.6,27.532054253717927,35.10116728938819,19.962941218047646,14743,7465,7278,trigo
193,Baja California,7,2006,NPS,1.5,27.31233,35.201172,19.423488,398,7,391,maiz
194,Baja California,7,2006,NPS,1.5,27.31233,35.201172,19.423488,8702,430,8272,trigo
195,Baja California,7,2006,NPS,1.5,27.31233,35.201172,19.423488,85,82,3,trigo
196,Baja California,7,2008,D1,1.9,25.543061781946783,32.44350293462563,18.605724947349227,14348,3865,10483,trigo
197,Baja California,7,2009,D2,0.0,26.120341479868824,33.15512193984505,19.085561019892594,13277,4643,8634,trigo
198,Baja California,7,2010,NPS,0.4,27.216983218226627,33.82871589269725,20.60525054375601,13187,2837,10350,trigo
199,Baja California,7,2011,NPS,9.7,25.456849076666582,32.12953010408036,18.78416804925281,10751,5640,5111,trigo
200,Baja California,7,2012,NPS,4.3,24.5,31.1,17.6,11245,1795,9450,trigo
201,Baja California,7,2013,D1,30.6,26.5,33.1,20.0,10018,3420,6598,trigo
202,Baja California,7,2014,D3,3.2300000000000013,27.5,33.8,21.2,2811,5,2806,trigo
203,Baja California,7,2016,D3,26.14,29.0,36.2,21.8,5579,1703,3876,trigo
204,Baja California,7,2017,D0,2.8599999999999994,29.3,35.5,23.0,5687,2482,3205,trigo
205,Baja California,7,2019,D0,5.1,25.6,32.7,18.5,2967,1758,1209,trigo
206,Baja California,7,2020,NPS,1.1,26.7,33.9,19.6,2466,1793,673,trigo
207,Baja California,8,2004,D1,1.4,26.680163935,34.63639344,18.72393443,2,2,0,maiz
208,Baja California,8,2004,D1,1.4,26.680163935,34.63639344,18.72393443,718,6,712,maiz
209,Baja California,8,2004,D1,1.4,26.680163935,34.63639344,18.72393443,16493,6067,10426,trigo
210,Baja California,8,2005,NPS,5.8,27.033538454786463,34.069259791420514,19.997817118152405,5,3,2,maiz
211,Baja California,8,2005,NPS,5.8,27.033538454786463,34.069259791420514,19.997817118152405,528,347,181,maiz
212,Baja California,8,2005,NPS,5.8,27.033538454786463,34.069259791420514,19.997817118152405,4,2,2,frijol
213,Baja California,8,2005,NPS,5.8,27.033538454786463,34.069259791420514,19.997817118152405,966,836,130,frijol
214,Baja California,8,2005,NPS,5.8,27.033538454786463,34.069259791420514,19.997817118152405,14743,12134,2609,trigo
215,Baja California,8,2006,D0,0.0,27.0013658928263,33.865794106914784,20.136937678737805,398,15,383,maiz
216,Baja California,8,2006,D0,0.0,27.0013658928263,33.865794106914784,20.136937678737805,449,24,425,frijol
217,Baja California,8,2006,D0,0.0,27.0013658928263,33.865794106914784,20.136937678737805,8702,430,8272,trigo
218,Baja California,8,2006,D0,0.0,27.0013658928263,33.865794106914784,20.136937678737805,85,82,3,trigo
219,Baja California,8,2007,D3,0.0,28.053261700109573,34.945865043633965,21.343737600896524,7316,15,7301,trigo
220,Baja California,8,2008,D1,12.6,26.793806519948955,33.41857001118817,20.06994086254895,14348,7003,7345,trigo
221,Baja California,8,2009,D2,1.0,27.240358950688357,34.718860522344286,19.761857379032413,470,10,460,frijol
222,Baja California,8,2009,D2,1.0,27.240358950688357,34.718860522344286,19.761857379032413,13277,6280,6997,trigo
223,Baja California,8,2010,NPS,2.9,28.25327197997556,35.033243474159306,21.473300485791817,13071,7520,5551,trigo
224,Baja California,8,2011,NPS,2.7,26.29906067508749,33.581764105522076,19.01635724465289,10751,7889,2862,trigo
225,Baja California,8,2012,NPS,7.8,27.9,34.4,21.5,11245,5620,5625,trigo
