,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
386,Tabasco,5013,4820.0,2006,6
387,Tamaulipas,747,712.0,2006,6
388,Veracruz,24792,21746.0,2006,6
389,Yucatan,273,16.0,2006,6
390,Total,150514,143118.0,2006,6
391,Campeche,2579,2559.0,2006,7
392,Chiapas,45078,44767.0,2006,7
393,Guerrero,91,91.0,2006,7
394,Hidalgo,4675,4675.0,2006,7
395,Jalisco,2104,2104.0,2006,7
396,Michoacan,146,146.0,2006,7
397,Nayarit,46632,46523.0,2006,7
398,Oaxaca,2906,2904.0,2006,7
399,Puebla,333,333.0,2006,7
400,Quintana roo,2579,1490.0,2006,7
401,San luis potosi,682,682.0,2006,7
402,Sinaloa,11872,11333.0,2006,7
403,Tabasco,5013,4820.0,2006,7
404,Tamaulipas,747,712.0,2006,7
405,Veracruz,24792,21746.0,2006,7
406,Yucatan,273,16.0,2006,7
407,Total,150504,144901.0,2006,7
408,Campeche,2579,2559.0,2006,8
409,Chiapas,45078,44767.0,2006,8
410,Guerrero,91,91.0,2006,8
411,Hidalgo,4675,4675.0,2006,8
412,Jalisco,2104,2104.0,2006,8
413,Michoacan,146,146.0,2006,8
414,Nayarit,46632,46523.0,2006,8
415,Oaxaca,2906,2904.0,2006,8
416,Puebla,333,333.0,2006,8
417,Quintana roo,2579,1490.0,2006,8
418,San luis potosi,682,682.0,2006,8
419,Sinaloa,11872,11333.0,2006,8
420,Tabasco,5013,4820.0,2006,8
421,Tamaulipas,747,747.0,2006,8
422,Veracruz,24792,21935.0,2006,8
423,Yucatan,273,16.0,2006,8
424,Total,150504,145125.0,2006,8
425,Campeche,2579,2559.0,2006,9
426,Chiapas,45078,44767.0,2006,9
427,Guerrero,91,91.0,2006,9
428,Hidalgo,4675,4675.0,2006,9
429,Jalisco,2104,2104.0,2006,9
430,Michoacan,146,146.0,2006,9
431,Nayarit,46632,46523.0,2006,9
432,Oaxaca,2906,2904.0,2006,9
433,Puebla,333,333.0,2006,9
434,Quintana roo,2579,1490.0,2006,9
435,San luis potosi,682,682.0,2006,9
436,Sinaloa,11872,11333.0,2006,9
437,Tabasco,5013,4820.0,2006,9
438,Tamaulipas,747,747.0,2006,9
439,Veracruz,24792,21935.0,2006,9
440,Yucatan,273,16.0,2006,9
441,Total,150504,145125.0,2006,9
442,Campeche,2579,2559.0,2006,12
443,Chiapas,45078,44767.0,2006,12
444,Guerrero,91,91.0,2006,12
445,Hidalgo,4675,4675.0,2006,12
446,Jalisco,2104,2104.0,2006,12
447,Michoacan,146,146.0,2006,12
448,Nayarit,46632,46523.0,2006,12
449,Oaxaca,2906,2904.0,2006,12
450,Puebla,333,333.0,2006,12
451,Quintana roo,2579,1490.0,2006,12
452,San luis potosi,682,682.0,2006,12
453,Sinaloa,11872,11333.0,2006,12
454,Tabasco,5013,4820.0,2006,12
455,Tamaulipas,747,747.0,2006,12
456,Veracruz,24792,21935.0,2006,12
457,Yucatan,273,16.0,2006,12
458,Total,150504,145125.0,2006,12
459,Campeche,1748,360.0,2007,1
460,Chiapas,44200,5744.0,2007,1
461,Hidalgo,4038,3572.0,2007,1
462,Jalisco,1974,6.0,2007,1
463,Nayarit,41155,155.0,2007,1
464,Oaxaca,3921,224.0,2007,1
465,Quintana roo,2818,675.0,2007,1
466,Veracruz,17927,1056.0,2007,1
467,Yucatan,340,132.0,2007,1
468,Total,137139,11924.0,2007,1
469,Campeche,1752,360.0,2007,2
470,Chiapas,45124,9772.0,2007,2
471,Hidalgo,4668,3918.0,2007,2
472,Jalisco,1964,1269.0,2007,2
473,Nayarit,42529,25787.0,2007,2
474,Oaxaca,4118,860.0,2007,2
475,Quintana roo,2870,2537.0,2007,2
476,Sinaloa,12196,4740.0,2007,2
477,Tabasco,4574,180.0,2007,2
478,Tamaulipas,671,220.0,2007,2
479,Veracruz,20510,4917.0,2007,2
480,Yucatan,340,192.0,2007,2
481,Total,143567,54752.0,2007,2
482,Campeche,1762,945.0,2007,3
483,Chiapas,45124,35234.0,2007,3
484,Guerrero,103,55.0,2007,3
485,Hidalgo,4668,3918.0,2007,3
486,Jalisco,1964,1841.0,2007,3
487,Nayarit,42576,41781.0,2007,3
488,Oaxaca,3309,1816.0,2007,3
489,Quintana roo,2870,2704.0,2007,3
490,Sinaloa,12280,9212.0,2007,3
491,Tabasco,4620,1804.0,2007,3
492,Tamaulipas,701,420.0,2007,3
493,Veracruz,21128,10658.0,2007,3
494,Yucatan,340,266.0,2007,3
495,Total,143771,110653.0,2007,3
