,Estado,Año,Mes,SPI
248,Aguascalientes,1971,9,0.503888889
249,Aguascalientes,1971,10,-0.292222222
250,Aguascalientes,1971,11,-0.692222222
251,Aguascalientes,1971,12,-0.712222222
252,Aguascalientes,1972,1,-0.606111111
253,Aguascalientes,1972,2,-0.699444444
254,Aguascalientes,1972,3,0.383333333
255,Aguascalientes,1972,4,0.119444444
256,Aguascalientes,1972,5,1.22
257,Aguascalientes,1972,6,0.187222222
258,Aguascalientes,1972,7,-0.593888889
259,Aguascalientes,1972,8,-0.969444444
260,Aguascalientes,1972,9,0.003888889
261,Aguascalientes,1972,10,-0.558333333
262,Aguascalientes,1972,11,0.257777778
263,Aguascalientes,1972,12,-0.392222222
264,Aguascalientes,1973,1,0.478333333
265,Aguascalientes,1973,2,0.27
266,Aguascalientes,1973,3,0.097222222
267,Aguascalientes,1973,4,-0.278333333
268,Aguascalientes,1973,5,0.337777778
269,Aguascalientes,1973,6,0.090555556
270,Aguascalientes,1973,7,0.272777778
271,Aguascalientes,1973,8,0.898333333
272,Aguascalientes,1973,9,-0.535555556
273,Aguascalientes,1973,10,0.574444444
274,Aguascalientes,1973,11,-0.462777778
275,Aguascalientes,1973,12,-0.576111111
276,Aguascalientes,1974,1,-0.555
277,Aguascalientes,1974,2,-0.351111111
278,Aguascalientes,1974,3,0.293333333
279,Aguascalientes,1974,4,-0.027222222
280,Aguascalientes,1974,5,-0.114444444
281,Aguascalientes,1974,6,-1.856111111
282,Aguascalientes,1974,7,-0.248333333
283,Aguascalientes,1974,8,-0.061666667
284,Aguascalientes,1974,9,0.125
285,Aguascalientes,1974,10,-0.707777778
286,Aguascalientes,1974,11,-0.248333333
287,Aguascalientes,1974,12,0.247222222
288,Aguascalientes,1975,1,0.141666667
289,Aguascalientes,1975,2,-0.357777778
290,Aguascalientes,1975,3,0.097222222
291,Aguascalientes,1975,4,-0.263333333
292,Aguascalientes,1975,5,-0.05
293,Aguascalientes,1975,6,-0.543333333
294,Aguascalientes,1975,7,0.302222222
295,Aguascalientes,1975,8,0.801666667
296,Aguascalientes,1975,9,-2.086111111
297,Aguascalientes,1975,10,-1.180555556
298,Aguascalientes,1975,11,-0.535555556
299,Aguascalientes,1975,12,0.276111111
300,Aguascalientes,1976,1,-0.591111111
301,Aguascalientes,1976,2,-0.355555556
302,Aguascalientes,1976,3,0.140555556
303,Aguascalientes,1976,4,0.114444444
304,Aguascalientes,1976,5,-0.71
305,Aguascalientes,1976,6,-1.473333333
306,Aguascalientes,1976,7,1.216666667
307,Aguascalientes,1976,8,-1.369444444
308,Aguascalientes,1976,9,0.175555556
309,Aguascalientes,1976,10,0.141111111
310,Aguascalientes,1976,11,1.697777778
311,Aguascalientes,1976,12,0.179444444
312,Aguascalientes,1977,1,-0.287777778
313,Aguascalientes,1977,2,-0.386111111
314,Aguascalientes,1977,3,-0.148333333
315,Aguascalientes,1977,4,0.346111111
316,Aguascalientes,1977,5,-0.697222222
317,Aguascalientes,1977,6,-0.119444444
318,Aguascalientes,1977,7,-0.583888889
319,Aguascalientes,1977,8,0.386666667
320,Aguascalientes,1977,9,-0.288333333
321,Aguascalientes,1977,10,0.181111111
322,Aguascalientes,1977,11,-0.173888889
323,Aguascalientes,1977,12,-0.218333333
324,Aguascalientes,1978,1,-0.615
325,Aguascalientes,1978,2,-0.051666667
326,Aguascalientes,1978,3,0.165
327,Aguascalientes,1978,4,-0.276666667
328,Aguascalientes,1978,5,-0.076666667
329,Aguascalientes,1978,6,-0.462777778
330,Aguascalientes,1978,7,-0.353333333
331,Aguascalientes,1978,8,0.515555556
332,Aguascalientes,1978,9,0.834444444
333,Aguascalientes,1978,10,0.665
334,Aguascalientes,1978,11,-0.027777778
335,Aguascalientes,1978,12,-0.206666667
336,Aguascalientes,1979,1,-0.548333333
337,Aguascalientes,1979,2,0.482777778
338,Aguascalientes,1979,3,0.292777778
339,Aguascalientes,1979,4,-0.16
340,Aguascalientes,1979,5,-1.015
341,Aguascalientes,1979,6,-1.208888889
342,Aguascalientes,1979,7,-0.448888889
343,Aguascalientes,1979,8,0.157777778
344,Aguascalientes,1979,9,-0.858333333
345,Aguascalientes,1979,10,-1.373888889
346,Aguascalientes,1979,11,-0.402777778
347,Aguascalientes,1979,12,1.800555556
348,Aguascalientes,1980,1,1.072222222
349,Aguascalientes,1980,2,0.706666667
350,Aguascalientes,1980,3,0.341111111
351,Aguascalientes,1980,4,0.69
352,Aguascalientes,1980,5,-0.871666667
353,Aguascalientes,1980,6,-1.241111111
354,Aguascalientes,1980,7,-0.787777778
355,Aguascalientes,1980,8,0.457222222
356,Aguascalientes,1980,9,-0.804444444
357,Aguascalientes,1980,10,0.526666667
358,Aguascalientes,1980,11,1.195
359,Aguascalientes,1980,12,1
360,Aguascalientes,1981,1,1.357777778
361,Aguascalientes,1981,2,0.489444444
362,Aguascalientes,1981,3,0.664444444
363,Aguascalientes,1981,4,1.247222222
364,Aguascalientes,1981,5,0.212222222
365,Aguascalientes,1981,6,-0.332777778
366,Aguascalientes,1981,7,-0.618888889
367,Aguascalientes,1981,8,-0.481666667
368,Aguascalientes,1981,9,-1.217222222
369,Aguascalientes,1981,10,0.168333333
370,Aguascalientes,1981,11,0.096111111
371,Aguascalientes,1981,12,0.312222222
372,Aguascalientes,1982,1,-0.526666667
373,Aguascalientes,1982,2,-0.122222222
374,Aguascalientes,1982,3,0.396111111
375,Aguascalientes,1982,4,0.62
376,Aguascalientes,1982,5,0.116111111
377,Aguascalientes,1982,6,-1.702222222
378,Aguascalientes,1982,7,-0.066666667
379,Aguascalientes,1982,8,-1.286111111
380,Aguascalientes,1982,9,-1.680555556
381,Aguascalientes,1982,10,0.886666667
382,Aguascalientes,1982,11,1.316666667
383,Aguascalientes,1982,12,1.217777778
384,Aguascalientes,1983,1,0.638888889
385,Aguascalientes,1983,2,-0.158888889
386,Aguascalientes,1983,3,0.418888889
387,Aguascalientes,1983,4,-0.185555556
388,Aguascalientes,1983,5,1.000555556
389,Aguascalientes,1983,6,-0.663888889
390,Aguascalientes,1983,7,0.65
391,Aguascalientes,1983,8,-0.315
392,Aguascalientes,1983,9,0.201111111
393,Aguascalientes,1983,10,-0.061666667
394,Aguascalientes,1983,11,0.677777778
395,Aguascalientes,1983,12,-0.452222222
396,Aguascalientes,1984,1,0.854444444
397,Aguascalientes,1984,2,0.057777778
398,Aguascalientes,1984,3,0.343333333
399,Aguascalientes,1984,4,-0.092222222
400,Aguascalientes,1984,5,0.588333333
401,Aguascalientes,1984,6,0.43
402,Aguascalientes,1984,7,0.644444444
403,Aguascalientes,1984,8,-0.296666667
404,Aguascalientes,1984,9,-0.885555556
405,Aguascalientes,1984,10,0.046111111
406,Aguascalientes,1984,11,-0.068888889
407,Aguascalientes,1984,12,0.355
408,Aguascalientes,1985,1,-0.176111111
409,Aguascalientes,1985,2,-0.109444444
410,Aguascalientes,1985,3,0.425
411,Aguascalientes,1985,4,0.796111111
412,Aguascalientes,1985,5,0.195555556
413,Aguascalientes,1985,6,1.116666667
414,Aguascalientes,1985,7,-0.343333333
415,Aguascalientes,1985,8,-0.147222222
416,Aguascalientes,1985,9,-1.214444444
417,Aguascalientes,1985,10,0.711666667
418,Aguascalientes,1985,11,-0.107777778
419,Aguascalientes,1985,12,0.870555556
420,Aguascalientes,1986,1,-0.530555556
421,Aguascalientes,1986,2,0.192222222
422,Aguascalientes,1986,3,0.366111111
423,Aguascalientes,1986,4,0.25
424,Aguascalientes,1986,5,-0.377777778
425,Aguascalientes,1986,6,1.538333333
426,Aguascalientes,1986,7,-0.267222222
427,Aguascalientes,1986,8,-1.148333333
428,Aguascalientes,1986,9,0.141111111
429,Aguascalientes,1986,10,0.991666667
430,Aguascalientes,1986,11,0.568888889
431,Aguascalientes,1986,12,-0.261666667
432,Aguascalientes,1987,1,0.867222222
433,Aguascalientes,1987,2,1.239444444
434,Aguascalientes,1987,3,0.343888889
435,Aguascalientes,1987,4,0.827222222
436,Aguascalientes,1987,5,0.976666667
437,Aguascalientes,1987,6,-0.287222222
438,Aguascalientes,1987,7,0.540555556
439,Aguascalientes,1987,8,-0.843333333
440,Aguascalientes,1987,9,-0.281111111
441,Aguascalientes,1987,10,-1.332777778
442,Aguascalientes,1987,11,-0.263888889
443,Aguascalientes,1987,12,0.045
444,Aguascalientes,1988,1,0.260555556
445,Aguascalientes,1988,2,-0.151666667
446,Aguascalientes,1988,3,0.833333333
447,Aguascalientes,1988,4,1.103888889
448,Aguascalientes,1988,5,-1.036666667
449,Aguascalientes,1988,6,-0.114444444
450,Aguascalientes,1988,7,0.91
451,Aguascalientes,1988,8,0.351666667
452,Aguascalientes,1988,9,-0.227222222
